code,name
21,Brussel Hoofdstad
11,Antwerpen
12,Mechelen
13,Turnhout
23,Halle-Vilvoorde
24,Leuven
31,Brugge
34,Kortrijk
32,Diksmuide
38,Veurne
35,Oostende
36,Roeselare
37,Tielt
33,Ieper
41,Aalst
45,Oudenaarde
43,Eeklo
44,Gent
46,Sint-Niklaas
42,Dendermonde
71,Hasselt
72,Maaseik
73,Tongeren
25,Nijvel
51,Aat
52,Charleroi
53,Bergen
54,Moeskroen
55,Zinnik
56,Thuin
57,Doornik
61,Hoei
62,Luik
63,Verviers
64,Borgworm
81,Aarlen
82,Bastenaken
83,Marche-en-Famenne
84,Neufchâteau
85,Virton
91,Dinant
92,Namen
93,Philippeville
