year,month,monthDay,weekDay,hour,numVictims,numSlightlyInjured,numSeverelyInjured,numMortallyInjured,numDiedWithin24Hours,numDiedWithin30Days,victimType,roadUserType,roadType,lightConditions,collisionType,areaType,age,sex,municipality
1995,1,,4,21,1,1,0,0,0,0,1,22,2,3,5,1,44,1,11002
1995,1,,7,17,0,0,0,0,0,0,1,1,2,1,3,1,47,2,11002
1995,1,,2,9,1,1,0,0,0,0,1,18,2,1,2,2,12,1,11050
1995,1,,1,8,0,0,0,0,0,0,1,1,1,3,1,2,36,1,11052
1995,1,,5,16,1,1,0,0,0,0,2,1,2,1,3,2,68,2,11024
1995,1,,6,19,0,0,0,0,0,0,1,1,1,3,1,2,22,1,11009
1995,1,,4,13,1,1,0,0,0,0,1,22,2,1,5,1,19,2,11002
1995,1,,1,9,1,1,0,0,0,0,1,15,2,1,3,1,17,2,11002
1995,1,,4,3,1,1,0,0,0,0,1,1,2,3,4,1,25,1,31005
1995,1,,4,2,0,0,0,0,0,0,1,1,2,3,4,1,25,1,21018
1995,1,,5,0,1,1,0,0,0,0,1,1,2,3,2,1,51,2,21018
1995,1,,2,21,1,0,1,0,0,0,1,1,2,3,3,1,50,2,21010
1995,1,,5,2,1,1,0,0,0,0,2,1,2,3,6,1,42,2,21008
1995,1,,6,21,0,0,0,0,0,0,1,1,2,3,,1,33,1,21009
1995,1,,4,20,1,1,0,0,0,0,1,1,2,3,3,2,22,2,21004
1995,1,,6,17,1,1,0,0,0,0,1,1,2,3,4,1,18,2,21004
1995,1,,7,11,0,0,0,0,0,0,1,2,2,1,4,1,34,2,21005
1995,1,,4,20,1,1,0,0,0,0,1,1,2,3,3,2,26,1,21004
1995,1,,3,14,1,1,0,0,0,0,1,16,2,1,4,2,30,1,13040
1995,1,,3,13,0,0,0,0,0,0,1,1,2,1,3,2,34,1,13011
1995,1,,5,8,1,1,0,0,0,0,2,1,2,2,1,2,47,2,12030
1995,1,,7,19,0,0,0,0,0,0,1,1,2,3,4,1,56,1,12025
1995,1,,6,14,0,0,0,0,0,0,1,1,2,1,4,2,37,1,25105
1995,1,,6,2,0,0,0,0,0,0,1,1,2,3,1,1,21,1,25014
1995,1,,4,19,1,0,1,0,0,0,1,1,2,3,3,2,81,1,24133
1995,1,,6,16,0,0,0,0,0,0,1,1,2,1,5,1,47,1,24137
1995,1,,5,13,1,1,0,0,0,0,1,18,2,1,4,1,26,2,24062
1995,1,,5,22,1,1,0,0,0,0,1,6,1,3,7,2,32,1,23099
1995,1,,7,16,0,0,0,0,0,0,1,1,2,1,4,2,37,1,23060
1995,1,,1,16,0,0,0,0,0,0,1,1,1,1,4,2,33,1,23016
1995,1,,6,15,1,1,0,0,0,0,1,1,2,1,4,2,28,1,23033
1995,1,,3,11,0,0,0,0,0,0,1,1,2,1,1,2,41,1,23002
1995,1,,7,12,1,0,1,0,0,0,2,1,2,1,4,1,19,2,72039
1995,1,,2,5,1,0,1,0,0,0,1,1,1,3,3,2,24,1,62119
1995,1,,7,15,1,1,0,0,0,0,1,1,2,1,4,2,23,2,45063
1995,1,,3,19,1,1,0,0,0,0,1,22,2,3,5,1,58,2,53082
1995,1,,7,16,1,1,0,0,0,0,2,1,2,1,7,2,,1,93088
1995,1,,3,19,1,1,0,0,0,0,1,22,2,3,5,2,33,1,93056
1995,1,,3,19,1,0,1,0,0,0,1,2,2,3,4,2,39,2,92048
1995,1,,7,5,1,0,1,0,0,0,1,22,2,3,5,2,19,2,92048
1995,1,,7,19,1,1,0,0,0,0,2,1,2,3,4,1,62,2,91141
1995,1,,1,6,1,1,0,0,0,0,1,2,2,3,7,2,25,2,85009
1995,1,,7,8,1,1,0,0,0,0,1,14,2,2,7,2,23,1,73083
1995,1,,3,17,0,0,0,0,0,0,1,1,2,1,4,2,29,2,82003
1995,1,,5,0,1,0,1,0,0,0,2,1,2,3,2,2,26,1,81001
1995,1,,6,14,0,0,0,0,0,0,1,1,2,1,4,1,47,1,73107
